ref,state,constituency,won status,votes,(votes),Name,Party Name
3559,Punjab,Anandpur Sahib(6),lost,1652,( -311565),KULWINDER SINGH,Democratic Bharatiya Samaj Party
3560,Punjab,Anandpur Sahib(6),lost,1640,( -311577),SUNAINA,Bhartiya Rashtriya Dal
3561,Punjab,Anandpur Sahib(6),lost,1600,( -311617),ADV KULWINDER SINGH,Independent
3562,Punjab,Anandpur Sahib(6),lost,1430,( -311787),MEGH RAJ,Independent
3563,Punjab,Anandpur Sahib(6),lost,1311,( -311906),HARWINDER KARWAL,Independent
3564,Punjab,Anandpur Sahib(6),lost,1175,( -312042),DAVINDER SINGH,Independent
3565,Punjab,Anandpur Sahib(6),lost,1172,( -312045),DARSHAN SINGH,Punjab National Party
3566,Punjab,Anandpur Sahib(6),lost,1076,( -312141),HANISH SHARMA,Ekam Sanatan Bharat Dal
3567,Punjab,Anandpur Sahib(6),lost,1012,( -312205),DEEPAK SHARMA,Independent
3568,Punjab,Anandpur Sahib(6),lost,930,( -312287),PARMINDER SINGH,Independent
3569,Punjab,Anandpur Sahib(6),lost,925,( -312292),YOG RAJ SAHOTA,Revolutionary Socialist Party
3570,Punjab,Anandpur Sahib(6),lost,672,( -312545),RAMJAAN KHAN,Independent
3571,Punjab,Anandpur Sahib(6),lost,619,( -312598),ROHTASH,Independent
3572,Punjab,Anandpur Sahib(6),lost,555,( -312662),MANDAR SINGH,Independent
3573,Punjab,Anandpur Sahib(6),lost,515,( -312702),KIRAN JAIN,Hindustan Shakti Sena
3574,Punjab,Anandpur Sahib(6),,6402,( -306815),NOTA,None of the Above
3575,Punjab,Hoshiarpur(5),won,303859,(+ 44111),DR. RAJ KUMAR CHABBEWAL,Aam Aadmi Party
3576,Punjab,Hoshiarpur(5),lost,259748,( -44111),YAMINI GOMAR,Indian National Congress
3577,Punjab,Hoshiarpur(5),lost,199994,( -103865),ANITA SOM PARKASH,Bharatiya Janata Party
3578,Punjab,Hoshiarpur(5),lost,91789,( -212070),SOHAN SINGH THANDAL,Shiromani Akali Dal
3579,Punjab,Hoshiarpur(5),lost,48214,( -255645),RANJIT KUMAR,Bahujan Samaj Party
3580,Punjab,Hoshiarpur(5),lost,20923,( -282936),JASWANT SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)
3581,Punjab,Hoshiarpur(5),lost,4621,( -299238),JEEVAN SINGH TAMIL,Bahujan Dravida Party
3582,Punjab,Hoshiarpur(5),lost,2419,( -301440),ROHIT KUMAR TINKU,Independent
3583,Punjab,Hoshiarpur(5),lost,2336,( -301523),RAJESH,Democratic Bharatiya Samaj Party
3584,Punjab,Hoshiarpur(5),lost,1884,( -301975),SONU SINGH PHAGWARA,Independent
3585,Punjab,Hoshiarpur(5),lost,1617,( -302242),DAVINDER SINGH,Independent
3586,Punjab,Hoshiarpur(5),lost,1425,( -302434),HARDEEP SINGH,Nationalist Justice Party
3587,Punjab,Hoshiarpur(5),lost,1140,( -302719),RAJPAL NADALI,Bahujan Mukti Party
3588,Punjab,Hoshiarpur(5),lost,1041,( -302818),BHIMRAO YASHWANT AMBEDKAR,Global Republican Party
3589,Punjab,Hoshiarpur(5),lost,993,( -302866),SATPAL,Independent
3590,Punjab,Hoshiarpur(5),lost,930,( -302929),DAVINDER KUMAR SAROYA,Samaj Bhalai Morcha
3591,Punjab,Hoshiarpur(5),,5552,( -298307),NOTA,None of the Above
3592,Punjab,Khadoor Sahib(3),won,404430,(+ 197120),AMRITPAL SINGH,Independent
3593,Punjab,Khadoor Sahib(3),lost,207310,( -197120),KULBIR SINGH ZIRA,Indian National Congress
3594,Punjab,Khadoor Sahib(3),lost,194836,( -209594),LALJIT SINGH BHULLAR,Aam Aadmi Party
3595,Punjab,Khadoor Sahib(3),lost,86416,( -318014),VIRSA SINGH VALTOHA,Shiromani Akali Dal
3596,Punjab,Khadoor Sahib(3),lost,86373,( -318057),MANJIT SINGH MANNA,Bharatiya Janata Party
3597,Punjab,Khadoor Sahib(3),lost,12525,( -391905),PARAMJIT SINGH,Independent
3598,Punjab,Khadoor Sahib(3),lost,6739,( -397691),CHAIN SINGH BAINKA,Aas Punjab Party
3599,Punjab,Khadoor Sahib(3),lost,5066,( -399364),SATNAM SINGH,Bahujan Samaj Party
3600,Punjab,Khadoor Sahib(3),lost,4836,( -399594),SARABJIT SINGH,Independent
3601,Punjab,Khadoor Sahib(3),lost,3952,( -400478),GURDIAL SINGH,Communist Party of India
3602,Punjab,Khadoor Sahib(3),lost,2769,( -401661),ANOKH SINGH KATWAL,Independent
3603,Punjab,Khadoor Sahib(3),lost,2609,( -401821),GURPREET SINGH,Independent
3604,Punjab,Khadoor Sahib(3),lost,2535,( -401895),AJIT SINGH,Independent
3605,Punjab,Khadoor Sahib(3),lost,2525,( -401905),ARUN KUMAR,Independent
3606,Punjab,Khadoor Sahib(3),lost,2371,( -402059),SURJIT SINGH BHIKHIWIND,Independent
3607,Punjab,Khadoor Sahib(3),lost,2294,( -402136),KAWALJIT SINGH,Independent
3608,Punjab,Khadoor Sahib(3),lost,1970,( -402460),HARJINDER SINGH,Independent
3609,Punjab,Khadoor Sahib(3),lost,1901,( -402529),KANWALJIT SINGH,Independent
3610,Punjab,Khadoor Sahib(3),lost,1803,( -402627),PARMINDER SINGH,Independent
3611,Punjab,Khadoor Sahib(3),lost,1639,( -402791),JASWANT SINGH SOHAL,Independent
3612,Punjab,Khadoor Sahib(3),lost,1421,( -403009),LAKHBIR SINGH,Independent
3613,Punjab,Khadoor Sahib(3),lost,1420,( -403010),VIKRAMJIT SINGH,Independent
3614,Punjab,Khadoor Sahib(3),lost,1388,( -403042),VIJAY KUMAR,Independent
3615,Punjab,Khadoor Sahib(3),lost,1374,( -403056),DILBAGH SINGH,All India Mazdoor Party (Rangreta)
3616,Punjab,Khadoor Sahib(3),lost,1341,( -403089),SIMRANJEET SINGH,Independent
3617,Punjab,Khadoor Sahib(3),lost,1046,( -403384),MAHINDER SINGH HAMIRA,Independent
3618,Punjab,Khadoor Sahib(3),lost,824,( -403606),NAVEEN KUMAR SHARMA,Sanjhi Virasat Party
3619,Punjab,Khadoor Sahib(3),,3452,( -400978),NOTA,None of the Above
3620,Tripura,Tripura West(1),won,881341,(+ 611578),BIPLAB KUMAR DEB,Bharatiya Janata Party
3621,Tripura,Tripura West(1),lost,269763,( -611578),ASISH KUMAR SAHA,Indian National Congress
3622,Tripura,Tripura West(1),lost,8932,( -872409),RAMENDRA REANG,Independent
3623,Tripura,Tripura West(1),lost,8784,( -872557),ARUN KUMAR BHAUMIK,Socialist Unity Centre Of India (COMMUNIST)
3624,Tripura,Tripura West(1),lost,8114,( -873227),GOURI SANKAR NANDI,Independent
3625,Tripura,Tripura West(1),lost,6652,( -874689),MILAN PADA MURASING,Independent
3626,Tripura,Tripura West(1),lost,4479,( -876862),BALARAM DEBBARMA,Independent
3627,Tripura,Tripura West(1),lost,3683,( -877658),BRAJALAL DEBNATH,Independent
3628,Tripura,Tripura West(1),lost,3449,( -877892),ARNAB ROY,Republican Party of India (A)
3629,Tripura,Tripura West(1),,14612,( -866729),NOTA,None of the Above
3630,Uttarakhand,Nainital-Udhamsingh Nagar(4),won,772671,(+ 334548),AJAY BHATT,Bharatiya Janata Party
3631,Uttarakhand,Nainital-Udhamsingh Nagar(4),lost,438123,( -334548),PRAKASH JOSHI,Indian National Congress
3632,Uttarakhand,Nainital-Udhamsingh Nagar(4),lost,23455,( -749216),AKHTAR ALI,Bahujan Samaj Party
3633,Uttarakhand,Nainital-Udhamsingh Nagar(4),lost,4902,( -767769),AKHALESH KUMAR,Akhil Bhartiya Parivar Party
3634,Uttarakhand,Nainital-Udhamsingh Nagar(4),lost,4315,( -768356),HITESH PATHAK,Independent
3635,Uttarakhand,Nainital-Udhamsingh Nagar(4),lost,3300,( -769371),RAMESH KUMAR MAX,Independent
3636,Uttarakhand,Nainital-Udhamsingh Nagar(4),lost,2987,( -769684),AMAR SINGH SAINI,Peoples Party of India (Democratic)
3637,Uttarakhand,Nainital-Udhamsingh Nagar(4),lost,2310,( -770361),JEEVAN CHANDRA UPRETI,Bharat Ki Lok Jimmedar Party
3638,Uttarakhand,Nainital-Udhamsingh Nagar(4),lost,1855,( -770816),SHIB SINGH,Uttarakhand Kranti Dal
3639,Uttarakhand,Nainital-Udhamsingh Nagar(4),lost,1673,( -770998),SURENDRA SINGH,Bhartiya Shakti Chetna Party
3640,Uttarakhand,Nainital-Udhamsingh Nagar(4),,10425,( -762246),NOTA,None of the Above
3641,Uttarakhand,Almora(3),won,429167,(+ 234097),AJAY TAMTA,Bharatiya Janata Party
3642,Uttarakhand,Almora(3),lost,195070,( -234097),PRADEEP TAMTA,Indian National Congress
3643,Uttarakhand,Almora(3),lost,10075,( -419092),NARAYAN RAM,Bahujan Samaj Party
3644,Uttarakhand,Almora(3),lost,5778,( -423389),KIRAN ARYA,Uttarakhand Parivartan Party
3645,Uttarakhand,Almora(3),lost,4707,( -424460),ARJUN PRASAD,Independent
3646,Uttarakhand,Almora(3),lost,4457,( -424710),DR PRAMOD KUMAR,Peoples Party of India (Democratic)
3647,Uttarakhand,Almora(3),lost,2224,( -426943),ER JYOTI PRAKASH TAMTA,Bahujan Mukti Party
3648,Uttarakhand,Almora(3),,17019,( -412148),NOTA,None of the Above
3649,Uttarakhand,Garhwal(2),won,432159,(+ 163503),ANIL BALUNI,Bharatiya Janata Party
3650,Uttarakhand,Garhwal(2),lost,268656,( -163503),GANESH GODIYAL,Indian National Congress
3651,Uttarakhand,Garhwal(2),lost,4822,( -427337),SONU KUMAR,Independent
3652,Uttarakhand,Garhwal(2),lost,4561,( -427598),ASHUTOSH SINGH,Uttarakhand Kranti Dal
3653,Uttarakhand,Garhwal(2),lost,4122,( -428037),DHEER SINGH,Bahujan Samaj Party
3654,Uttarakhand,Garhwal(2),lost,3079,( -429080),MUKESH PRAKASH,Independent
3655,Uttarakhand,Garhwal(2),lost,1640,( -430519),DEEPENDRA SINGH NEGI,Independent
3656,Uttarakhand,Garhwal(2),lost,1512,( -430647),SURESHI DEVI,Peoples Party of India (Democratic)
3657,Uttarakhand,Garhwal(2),lost,1378,( -430781),ARJUN SINGH,Akhil Bhartiya Parivar Party
3658,Uttarakhand,Garhwal(2),lost,1293,( -430866),RESHMA PANWAR,Socialist Unity Centre Of India (COMMUNIST)
3659,Uttarakhand,Garhwal(2),lost,1179,( -430980),DR MUKESH PANT,Sainik Samaj Party
3660,Uttarakhand,Garhwal(2),lost,884,( -431275),VINOD KUMAR SHARMA,Uttarakhand Samanta Party
3661,Uttarakhand,Garhwal(2),lost,771,( -431388),SHYAMLAL,Bahujan Mukti Party
3662,Uttarakhand,Garhwal(2),,11375,( -420784),NOTA,None of the Above
3663,Uttarakhand,Tehri Garhwal(1),won,462603,(+ 272493),MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party
3664,Uttarakhand,Tehri Garhwal(1),lost,190110,( -272493),JOT SINGH GUNSOLA,Indian National Congress
3665,Uttarakhand,Tehri Garhwal(1),lost,168081,( -294522),BOBY PANWAR,Independent
3666,Uttarakhand,Tehri Garhwal(1),lost,10026,( -452577),NAVNEET SINGH GOSAIN,Rashtriya Uttarakhand Party
3667,Uttarakhand,Tehri Garhwal(1),lost,6908,( -455695),NEMCHAND,Bahujan Samaj Party
3668,Uttarakhand,Tehri Garhwal(1),lost,3570,( -459033),BRIJ BHUSHAN KARANWAL,Bhartiya Rashtriya Ekta Dal
3669,Uttarakhand,Tehri Garhwal(1),lost,3275,( -459328),SARDAR KHAN PAPPU,Independent
3670,Uttarakhand,Tehri Garhwal(1),lost,3216,( -459387),VEPIN KUMAR AGGARWAL,Independent
3671,Uttarakhand,Tehri Garhwal(1),lost,2362,( -460241),RAMPAL SINGH,Peoples Party of India (Democratic)
3672,Uttarakhand,Tehri Garhwal(1),lost,2268,( -460335),SUDESH TOMAR,Independent
3673,Uttarakhand,Tehri Garhwal(1),lost,2164,( -460439),PREM DUTT SEMWAL,Independent
3674,Uttarakhand,Tehri Garhwal(1),,7458,( -455145),NOTA,None of the Above
3675,Maharashtra,Solapur(42),won,620225,(+ 74197),PRANITI SUSHILKUMAR SHINDE,Indian National Congress
3676,Maharashtra,Solapur(42),lost,546028,( -74197),RAM VITTHAL SATPUTE,Bharatiya Janata Party
3677,Maharashtra,Solapur(42),lost,10507,( -609718),AATISH MOHAN BANSODE,Independent
3678,Maharashtra,Solapur(42),lost,5268,( -614957),BABLU SIDRAM GAIKWAD,Bahujan Samaj Party
3679,Maharashtra,Solapur(42),lost,3493,( -616732),SHRIVIDYADURGADEVI MAULAPPA KURANE,Independent
3680,Maharashtra,Solapur(42),lost,3146,( -617079),RAMESH BHIMRAO SHIKHARE,Independent
3681,Maharashtra,Solapur(42),lost,2654,( -617571),PROF DR ARJUN GENA OHOL,Bahujan Mukti Party
3682,Maharashtra,Solapur(42),lost,1554,( -618671),BHANTENAAGAMURTI MOULAPPA KURANE,Independent
3683,Maharashtra,Solapur(42),lost,1480,( -618745),SUNILKUMAR TUKARAM SHINDE,Independent
3684,Maharashtra,Solapur(42),lost,1125,( -619100),YUGANDHAR CHANDRAKANT THOKALE,Peoples Party of India (Democratic)
3685,Maharashtra,Solapur(42),lost,886,( -619339),PARMESHWAR PANDURANG GEJAGE,Independent
3686,Maharashtra,Solapur(42),lost,846,( -619379),ADV VIKRAM UTTAM KASABE,Independent
3687,Maharashtra,Solapur(42),lost,833,( -619392),UGHADE VIJAYKUMAR BHAGWAN,Independent
3688,Maharashtra,Solapur(42),lost,679,( -619546),KUMAR CHANDRAKANT LONDHE,Baliraja Party
3689,Maharashtra,Solapur(42),lost,562,( -619663),KRISHNA NAGNATH BHISE,Independent
3690,Maharashtra,Solapur(42),lost,501,( -619724),ANNA SUKHADEV MASKE,Independent
3691,Maharashtra,Solapur(42),lost,409,( -619816),MAHASIDDHA TUKARAM GAYAKWAD,Independent
3692,Maharashtra,Solapur(42),lost,401,( -619824),SUDARSHAN RAYCHAND KHANDARE,Independent
3693,Maharashtra,Solapur(42),lost,394,( -619831),SONAVANE SHIVAJI CHANDRAKANT,Independent
3694,Maharashtra,Solapur(42),lost,389,( -619836),SACHIN SHAHU MASKE,Independent
3695,Maharashtra,Solapur(42),lost,380,( -619845),PROF. DR. SUBHASH KHANDERAO GAIKWAD,Independent
3696,Maharashtra,Solapur(42),,2725,( -617500),NOTA,None of the Above
3697,Maharashtra,Latur (41),won,609021,(+ 61881),DR. KALGE SHIVAJI BANDAPPA,Indian National Congress
3698,Maharashtra,Latur (41),lost,547140,( -61881),SUDHAKAR TUKARAM SHRANGARE,Bharatiya Janata Party
3699,Maharashtra,Latur (41),lost,42225,( -566796),NARSINGRAO UDGIRKAR,Vanchit Bahujan  Aaghadi
3700,Maharashtra,Latur (41),lost,5178,( -603843),ATITHI KHANDERAO SURYVANSHI,Swarajya Shakti Sena
3701,Maharashtra,Latur (41),lost,5121,( -603900),ALTE VISHWANATH MAHADEV,Bahujan Samaj Party
3702,Maharashtra,Latur (41),lost,2269,( -606752),KAMANT MACHHINDRA GUNWANTRAO,Bahujan Bharat Party
3703,Maharashtra,Latur (41),lost,2102,( -606919),ABHANG GANGARAM SURYAWANSHI,Independent
3704,Maharashtra,Latur (41),lost,2002,( -607019),DATTU SOPAN NARSINGE,Independent
3705,Maharashtra,Latur (41),lost,1726,( -607295),DEEPAK KEDAR,Independent
3706,Maharashtra,Latur (41),lost,1691,( -607330),UMESH AMBADAS KAMBLE,Independent
3707,Maharashtra,Latur (41),lost,1600,( -607421),BANSODE RAGHUNATH WAGHOJI,Independent
3708,Maharashtra,Latur (41),lost,1449,( -607572),BHARAT HARIBA NANAWARE,Peoples Party of India (Democratic)
3709,Maharashtra,Latur (41),lost,1382,( -607639),SHRIKANT BABURAO HOVAL,Bahujan Mukti Party
3710,Maharashtra,Latur (41),lost,1273,( -607748),PRAVIN MADHAV JOHARE,Swarajya Sena (Maharashtra)
3711,Maharashtra,Latur (41),lost,1241,( -607780),PANCHSHIL VIKRAM KAMBLE,Independent
3712,Maharashtra,Latur (41),lost,1128,( -607893),SHANKAR HARI TADAKHE,Baliraja Party
3713,Maharashtra,Latur (41),lost,1099,( -607922),AMOL MALU HANMANTE,Independent
3714,Maharashtra,Latur (41),lost,994,( -608027),ADV. KASBEKAR SHRIDHAR LIMBAJI,Rashtriya Sant Sandesh Party
3715,Maharashtra,Latur (41),lost,954,( -608067),BALAJI SHESHRAO BANSODE,Independent
3716,Maharashtra,Latur (41),lost,866,( -608155),BHIKAJI GANGARAM JADHAV,Kranti Kari Jai Hind Sena
3717,Maharashtra,Latur (41),lost,801,( -608220),VIKAS KONDIBA SHINDE,Maharashtra Vikas Aghadi
3718,Maharashtra,Latur (41),lost,795,( -608226),LAKHAN RAJARAM KAMBLE,Rashtriy Bahujan Party
3719,Maharashtra,Latur (41),lost,683,( -608338),BALAJI TUKARAM GAIKWAD,Bharat Peoples Sena
3720,Maharashtra,Latur (41),lost,620,( -608401),SUDHAKAR TUKARAM SURYAWANSHI,Independent
3721,Maharashtra,Latur (41),lost,581,( -608440),PAPITA RAOSAHEB RANDIVE,Independent
3722,Maharashtra,Latur (41),lost,533,( -608488),ADV. PRADIP S. CHINCHOLIKAR,Independent
3723,Maharashtra,Latur (41),lost,525,( -608496),MUKESH GOVINDRAO GHODAKE,Independent
3724,Maharashtra,Latur (41),lost,513,( -608508),PANKAJ GOPALRAO WAKHARADAKAR,Independent
3725,Maharashtra,Latur (41),,3567,( -605454),NOTA,None of the Above
3726,Maharashtra,Mumbai North Central(29),won,445545,(+ 16514),GAIKWAD VARSHA EKNATH,Indian National Congress
3727,Maharashtra,Mumbai North Central(29),lost,429031,( -16514),ADV UJWAL NIKAM,Bharatiya Janata Party
3728,Maharashtra,Mumbai North Central(29),lost,8288,( -437257),SANTOSH GANPAT AMBULGE,Vanchit Bahujan  Aaghadi
3729,Maharashtra,Mumbai North Central(29),lost,3243,( -442302),AYYUB AMIN HUNGUND,Bahujan Samaj Party
3730,Maharashtra,Mumbai North Central(29),lost,2211,( -443334),ANSON THOMAS,People's Party of India(secular)
3731,Maharashtra,Mumbai North Central(29),lost,1531,( -444014),RAMZAN ALI CHAUDHARY,All India Majlis-E-Ittehadul Muslimeen
3732,Maharashtra,Mumbai North Central(29),lost,1041,( -444504),AJAZ MOHAMMAD SAFI KHAN,Independent
3733,Maharashtra,Mumbai North Central(29),lost,821,( -444724),HAYATULAH ABDULAH SHAIKH,Akhil Bharatiya Muslim League (Secular)
3734,Maharashtra,Mumbai North Central(29),lost,733,( -444812),SHANTARAM S DIGHE,Independent
3735,Maharashtra,Mumbai North Central(29),lost,732,( -444813),NAZMAKHATHUN MOHAMMED ZAFAR KHAN,Independent
3736,Maharashtra,Mumbai North Central(29),lost,708,( -444837),NARENDRA MISHRA,Independent
3737,Maharashtra,Mumbai North Central(29),lost,690,( -444855),HARSHADA BABURAV JADHAV,Maharashtra Vikas Aghadi
3738,Maharashtra,Mumbai North Central(29),lost,683,( -444862),ADV ASIF ALI SIDDIQUIE,Independent
3739,Maharashtra,Mumbai North Central(29),lost,636,( -444909),RAMA ARUN SABLE,Independent
3740,Maharashtra,Mumbai North Central(29),lost,623,( -444922),SANDEEP BHAU RAMCHANDRA JADHAV,Independent
3741,Maharashtra,Mumbai North Central(29),lost,586,( -444959),DR GAFFAR IBRAHIM SAYED,Independent
3742,Maharashtra,Mumbai North Central(29),lost,558,( -444987),ADV UTTAMKUMAR NAKUL SAJANI SAHU,Independent
3743,Maharashtra,Mumbai North Central(29),lost,428,( -445117),KHAN ABBAS AHMED,Bahujan Maha Party
3744,Maharashtra,Mumbai North Central(29),lost,405,( -445140),MUSHTAQUE HAIDER SHAIKH,Independent
3745,Maharashtra,Mumbai North Central(29),lost,391,( -445154),DR ADV YASHWANT RAMBHAU KASBE,Bhartiya Jan Vikas Aaghadi
3746,Maharashtra,Mumbai North Central(29),lost,367,( -445178),KURBAN SHAHADAT HUSAIN,Rashtriya Ulama Council
3747,Maharashtra,Mumbai North Central(29),lost,355,( -445190),ABDUL TAHIR ADVOCATE BABLU RAJNIKANT,Independent
3748,Maharashtra,Mumbai North Central(29),lost,345,( -445200),SHAUKAT ABDUL RAFIQ KHAN,Insaniyat Party
3749,Maharashtra,Mumbai North Central(29),lost,289,( -445256),RAJESH MOHAN LOKHANDE,Independent
3750,Maharashtra,Mumbai North Central(29),lost,220,( -445325),YUNUSALI RASHID MULLA,Independent
3751,Maharashtra,Mumbai North Central(29),lost,180,( -445365),ADV FEROZ SHAIKH,Independent
3752,Maharashtra,Mumbai North Central(29),lost,173,( -445372),MUZAFAR ALI SHAIKH,Independent
3753,Maharashtra,Mumbai North Central(29),,9749,( -435796),NOTA,None of the Above
3754,Maharashtra,Jalna(18),won,607897,(+ 109958),KALYAN VAIJINATHRAO KALE,Indian National Congress
3755,Maharashtra,Jalna(18),lost,497939,( -109958),DANVE RAOSAHEB DADARAO,Bharatiya Janata Party
3756,Maharashtra,Jalna(18),lost,155930,( -451967),MANGESH SANJAY SABLE,Independent
3757,Maharashtra,Jalna(18),lost,37810,( -570087),BAKALE PRABHAKAR DEVGAN,Vanchit Bahujan  Aaghadi
3758,Maharashtra,Jalna(18),lost,9570,( -598327),BABASAHEB SANTUKRAO SHELKE,Samata Party
3759,Maharashtra,Jalna(18),lost,6337,( -601560),CHABUKSWAR RAHUL NIRANJAN,Independent
3760,Maharashtra,Jalna(18),lost,6008,( -601889),NIVRUTTI VISHWNATH BANSODE,Bahujan Samaj Party
3761,Maharashtra,Jalna(18),lost,5522,( -602375),DIPAK BHIMRAO BORHADE,Samnak Janta Party
3762,Maharashtra,Jalna(18),lost,4948,( -602949),TANAJI TUKARAM BHOJANE,Independent
3763,Maharashtra,Jalna(18),lost,3728,( -604169),KAMBLE MAROTI DASHARATH,Independent
3764,Maharashtra,Jalna(18),lost,2875,( -605022),RAJENDRA NAMDEO MAGRE,Independent
3765,Maharashtra,Jalna(18),lost,2737,( -605160),MANOJ NEMINATH KOLTE,Independent
3766,Maharashtra,Jalna(18),lost,2591,( -605306),MUKESH PRABHAT RATHOD,Akhil Bhartiya Parivar Party
3767,Maharashtra,Jalna(18),lost,2417,( -605480),BABASAHEB PATIL SHINDE,Independent
3768,Maharashtra,Jalna(18),lost,1967,( -605930),KADUBA MHATARBA INGLE,Independent
3769,Maharashtra,Jalna(18),lost,1546,( -606351),AJHAR ANWAR SAYYAD,Independent
3770,Maharashtra,Jalna(18),lost,1394,( -606503),AHMAD RAHIM SAIKH BAGWAN,Independent
3771,Maharashtra,Jalna(18),lost,1342,( -606555),ADV. YOGESH DATTU GULLAPELLI,Independent
3772,Maharashtra,Jalna(18),lost,1174,( -606723),BHAGWAN SAHEBRAO REGUDE,Hindustan Janta Party
3773,Maharashtra,Jalna(18),lost,1143,( -606754),DNYANESHWAR DAGDUJI NADE,Independent
3774,Maharashtra,Jalna(18),lost,1139,( -606758),DHANANJAY RUPRAOJI KAKDE (PATIL),Bharatheeya Jawan Kisan Party
3775,Maharashtra,Jalna(18),lost,1047,( -606850),ABDUL RAFIQ ABDUL LATIF,Independent
3776,Maharashtra,Jalna(18),lost,974,( -606923),SHYAM RUSTUMRAO SHIRSATH,Bahujan Republican  Socialist Party
3777,Maharashtra,Jalna(18),lost,647,( -607250),RATAN ASARAM LANDGE,Independent
3778,Maharashtra,Jalna(18),lost,644,( -607253),VIKAS CHHAGAN LAHANE,Independent
3779,Maharashtra,Jalna(18),lost,546,( -607351),SHAM PAWALS RUPEKAR,Independent
3780,Maharashtra,Jalna(18),,3537,( -604360),NOTA,None of the Above
3781,Maharashtra,Nanded(16),won,528894,(+ 59442),CHAVAN VASANTRAO BALWANTRAO,Indian National Congress
3782,Maharashtra,Nanded(16),lost,469452,( -59442),CHIKHALIKAR PRATAPRAO GOVINDRAO,Bharatiya Janata Party
3783,Maharashtra,Nanded(16),lost,92512,( -436382),AVINASH VISHWANATH BHOSIKAR,Vanchit Bahujan  Aaghadi
3784,Maharashtra,Nanded(16),lost,6901,( -521993),PANDURANG RAMA ADGULWAR,Bahujan Samaj Party
3785,Maharashtra,Nanded(16),lost,4325,( -524569),NIKHIL LAXMANRAO GARJE,Independent
3786,Maharashtra,Nanded(16),lost,3318,( -525576),NAGESH SAMBHAJI GAIKWAD,Independent
3787,Maharashtra,Nanded(16),lost,2080,( -526814),BHASKAR CHAMPATRAO DOIFODE,Independent
3788,Maharashtra,Nanded(16),lost,1890,( -527004),SUSHILA NILKANTHRAO PAWAR,Samnak Janta Party
3789,Maharashtra,Nanded(16),lost,1510,( -527384),ABDUL RAIS AHEMAD,Desh Janhit Party
3790,Maharashtra,Nanded(16),lost,1471,( -527423),DEVIDAS GOVINDRAO INGLE,Independent
3791,Maharashtra,Nanded(16),lost,1310,( -527584),KALPANA SANJAY GAIKWAD,Independent
3792,Maharashtra,Nanded(16),lost,1215,( -527679),KAUSAR SULTANA,Indian National League
3793,Maharashtra,Nanded(16),lost,1193,( -527701),SAHEBRAO BHIVA GAJBHARE,Independent
3794,Maharashtra,Nanded(16),lost,963,( -527931),JAGDISH LAXMAN POTRE,Independent
3795,Maharashtra,Nanded(16),lost,950,( -527944),GAJANAN DATTRAMJI DHUMAL,Independent
3796,Maharashtra,Nanded(16),lost,923,( -527971),LAXMAN NAGORAO PATIL,Independent
3797,Maharashtra,Nanded(16),lost,913,( -527981),MAHARUDRA KESHAV POPLAITKAR,Independent
3798,Maharashtra,Nanded(16),lost,903,( -527991),RUKMINBAI SHANKARRAO GITE,Bharatiya Praja Surajya Paksha
3799,Maharashtra,Nanded(16),lost,878,( -528016),HARI PIRAJI BOYALE,Bahujan Bharat Party
3800,Maharashtra,Nanded(16),lost,808,( -528086),RATHOD SURESH GOPINATH,Independent
3801,Maharashtra,Nanded(16),lost,799,( -528095),KADAM SURAJ DEVENDRA,Independent
3802,Maharashtra,Nanded(16),lost,737,( -528157),RAHUL SURYAKANT YANGADE,Bahujan Mukti Party
3803,Maharashtra,Nanded(16),lost,681,( -528213),DNYANESHWAR RAOSAHEB KAPATE,Independent
